Year,Venue,Defenders,Challengers,TotalYachts,Winner,Type,Yacht Type,Era
1851,Isle of Wight,15,1,16,Challenger,Fleet,Displacment,Historic
1870,New York City,17,1,18,Defender,Fleet,Displacment,Historic
1871,New York City,1,1,2,Defender,Match,Displacment,Historic
1876,New York City,1,1,2,Defender,Match,Displacment,Historic
1881,New York City,1,1,2,Defender,Match,Displacment,Historic
1885,New York City,1,1,2,Defender,Match,Displacment,Historic
1886,New York City,1,1,2,Defender,Match,Displacment,Historic
1887,New York City,1,1,2,Defender,Match,Displacment,Historic
1893,New York City,1,1,2,Defender,Match,Displacment,Historic
1895,New York City,1,1,2,Defender,Match,Displacment,Historic
1899,New York City,1,1,2,Defender,Match,Displacment,Historic
1901,New York City,1,1,2,Defender,Match,Displacment,Historic
1903,New York City,1,1,2,Defender,Match,Displacment,Historic
1920,New York City,1,1,2,Defender,Match,Displacment,Historic
1930,Newport,1,1,2,Defender,Match,Displacment,Historic
1934,Newport,1,1,2,Defender,Match,Displacment,Historic
1937,Newport,1,1,2,Defender,Match,Displacment,Historic
1958,Newport,4,1,5,Defender,Match,Displacment,Modern
1962,Newport,4,1,5,Defender,Match,Displacment,Modern
1964,Newport,5,2,7,Defender,Match,Displacment,Modern
1967,Newport,3,1,4,Defender,Match,Displacment,Modern
1970,Newport,4,2,6,Defender,Match,Displacment,Modern
1974,Newport,5,2,7,Defender,Match,Displacment,Modern
1977,Newport,3,4,7,Defender,Match,Displacment,Modern
1980,Newport,3,4,7,Defender,Match,Displacment,Modern
1983,Newport,3,7,10,Challenger,Match,Displacment,Modern
1987,Fremantle,4,13,17,Challenger,Match,Displacment,Modern
1988,San Diego,1,1,2,Defender,DOG,Displacment,Modern
1992,San Diego,5,8,13,Defender,Match,Displacment,Modern
1995,San Diego,4,7,11,Challenger,Match,Displacment,Modern
2000,Auckland,1,11,12,Defender,Match,Displacment,Modern
2003,Auckland,1,9,10,Challenger,Match,Displacment,Modern
2007,Valencia,1,11,12,Defender,Match,Displacment,Modern
2010,Valencia,1,1,2,Challenger,DOG,Displacment,Modern
2013,San Francisco,1,3,4,Defender,Match,Foiling,Modern
2017,Bermuda,1,5,6,Challenger,Match,Foiling,Modern
